,line_number,label,start,end,text
564,568,,1080560,1084187,You are obviously not capable of judging these situations on your own.
565,569,R,1084272,1085439,What are you trying to say about Morty?
566,570,R,1085523,1086523,That he's stupid or something?
567,571,,1086608,1087899,"Oh, don't high-road us, Dad."
568,572,,1087984,1090986,You know fully well that Morty is the last child that needs to
569,573,,1091070,1092279,be missing classes.
570,574,R,1092363,1094197,I-I-I don't know what you mean by that.
571,575,R,1094282,1095824,Can... can... can you be a little bit more specific?
572,576,,1095908,1097117,"Oh, for crying out..."
573,577,,1097201,1098869,he's got some kind of disability or something.
574,578,,1098953,1100287,Is that what you want us to say?
575,579,M,1100371,1101788,I do?
576,580,,1101873,1103540,"Well, duh doy, son."
577,581,,1103625,1107252,"Look, I love you, Morty, but we both know you're not as fast as"
578,582,,1107337,1109379,"the other kids, and if you want to compete in this world,"
579,583,,1109464,1111298,you got to work twice as hard.
580,584,M,1111382,1112716,"Aw, geez, Dad."
581,585,M,1112800,1115594,"Y-you know, that's a lot to drop on a kid all at once."
582,586,R,1115678,1118180,"Morty, t-tell your parents the square root of Pi."
583,587,M,1118264,1119598,"Oh, come on, Rick."
584,588,M,1119682,1120641,You know I can't.
585,589,R,1120725,1121767,"The square root of Pi, Morty... go."
586,590,,1121851,1124895,1.77245385.
587,591,M,1124979,1126313,Whoa!
588,592,,1126397,1127689,What the hell?
589,593,,1127774,1129316,Holy crap. He's right.
590,594,R,1129400,1131318,"Morty, tell your parents the first Law of"
591,595,R,1131402,1132694,Thermodynamics.
592,596,M,1132779,1135864,energy of a system is equal to
593,597,M,1135948,1137616,"the increment of heat supplied to the system."""
594,598,M,1137700,1139451,Wow! I'm so smart!
595,599,,1139535,1140786,But...
596,600,R,1140870,1141745,I told the both of you...
597,601,R,1141829,1142704,school is stupid.
598,602,R,1142789,1143997,It's not how you learn things.
599,603,R,1144082,1145207,Morty's a gifted child.
600,604,R,1145291,1146667,He has a special mind.
601,605,R,1146751,1147918,That's why he's my little helper.
602,606,R,1148002,1149461,He's like me.
603,607,R,1149545,1152214,He's gonna be doing great science stuff later in his life.
604,608,R,1152298,1153632,He's too smart for school.
605,609,R,1153716,1156843,H-he needs to keep hanging out and helping me.
606,610,,1156928,1159763,"Jerry, I don't want whatever's happening here to stop."
607,611,,1159847,1161306,"No, I-I understand."
608,612,,1161391,1163350,"Uh, maybe we overreacted."
609,613,,1163434,1166103,But he has to keep going to school.
610,614,R,1166187,1167479,"Okay, Jerry."
611,615,R,1167563,1168897,"You drive a hard bargain,"
612,616,R,1168981,1170315,but what am I supposed to do?
613,617,R,1170400,1171817,Say... say no?
614,618,R,1171901,1173902,You... you really wear the pants around here.
615,619,R,1173986,1175779,"I just want you to know, between us, from now on,"
616,620,R,1175863,1178156,"it's gonna be 100% honesty and open,"
617,621,R,1178241,1179491,clear communication.
618,622,,1179575,1181868,Frank Palicky was frozen to death today!
619,623,,1181953,1182911,No idea what you're talking about.
620,624,,1183996,1185247,Okay.
621,625,,1185331,1187791,"Well, uh, Morty, it's your bedtime in an hour."
622,626,,1187875,1189418,Don't stay up all night again.
623,627,,1189502,1190794,"This is good, though."
624,628,,1190878,1192170,This can work.
625,629,,1192255,1194256,I think we can be a family.
626,630,,1194340,1196717,"And now, Beth, if you'll have me,"
627,631,,1196801,1198677,I would love to have you.
628,632,,1198761,1199845,You know what?
629,633,,1199929,1201179,Okay.
630,634,M,1201264,1202973,"Holy cow, Rick."
631,635,M,1203057,1205434,I didn't know hanging out with you was making me smarter.
632,636,R,1205518,1207436,"Full disclosure, Morty... it's not."
633,637,R,1207520,1210480,Temporary superintelligence is just a side effect of the
634,638,R,1210565,1212274,Mega seeds dissolving in your rectal cavity.
635,639,M,1212358,1213567,"Aw, man."
636,640,R,1213651,1216027,"Yeah, and once those seeds wear off,"
637,641,R,1216112,1217821,"you're gonna lose most of your motor skills,"
638,642,R,1217905,1220782,and you're also gonna lose a significant amount of
639,643,R,1220867,1222200,"brain functionality for 72 hours, Morty."
640,644,R,1222285,1224870,Starting right about now.
641,645,M,1224954,1225912,"Ohh, man."
642,646,M,1225997,1228206,"Oh, geez! Ohh."
643,647,R,1228291,1230250,"I'm sorry, Morty. It's a bummer."
644,648,R,1230334,1232043,"In reality, you're as dumb as they come."
645,649,R,1232128,1233837,"And I needed those seeds real bad,"
646,650,R,1233921,1236047,"and I had to give them up just to get your parents off my back,"
647,651,R,1236132,1238049,so now we're gonna have to go get more.
648,652,R,1238134,1239843,"And then we're gonna go on even more adventures after that,"
649,653,R,1239927,1241178,Morty.
650,654,R,1241262,1243054,"And you're gonna keep your mouth shut about it, Morty,"
651,655,R,1243139,1245015,because the world is full of idiots that don't understand
652,656,R,1245099,1246183,"what's important,"
653,657,R,1246267,1247559,"and they'll tear us apart, Morty."
654,658,R,1247643,1250228,"But if you stick with me, I'm gonna accomplish great things,"
655,659,R,1250313,1252314,"Morty, and you're gonna be part of them, and together,"
656,660,R,1252398,1253607,"we're gonna run around, Morty."
657,661,R,1253691,1255275,"We're gonna do all kinds of wonderful things, Morty."
658,662,R,1255359,1256276,"Just you and me, Morty."
659,663,R,1256360,1257360,"Oh, no, no."
660,664,R,1257445,1258779,"The outside world is our enemy, Morty."
661,665,R,1258863,1261323,"We're the only friends we've got, Morty."
662,666,R,1261407,1262574,It's just Rick and Morty...
663,667,R,1262658,1264826,"Rick and Morty and their adventures, Morty."
664,668,R,1264911,1266620,Rick and Morty forever and forever.
665,669,R,1266704,1268497,"100 years, Rick and Morty's things."
666,670,R,1268581,1271792,"Me and Rick and Morty running around, and Rick and Morty time."
667,671,R,1271876,1274211,"All day long, forever."
668,672,R,1274295,1275837,All... a hundred days.
669,673,R,1275922,1277756,Rick and Morty forever... 100 times.
670,674,R,1277840,1280759,"Over and over, rickandmortyadventures.com."
671,675,R,1280843,1283762,www.rickandmorty.com.
672,676,R,1283846,1286014,www.rickandmortyadventures.
673,677,R,1286098,1287682,All 100 years.
674,678,R,1287767,1290352,"Every minute, rickandmorty.com."
675,679,R,1290436,1294147,www.100timesrickandmorty.com.
676,680,,1315586,1317504,It's a good-a show!
